lieu,date,temperatureMaximale,temperatureMinimale,vitesseVent,Humidite,Visibilite,etat,ajuste
Tunis,01/01/2017,12°,11°,12km/h,61%,10km,Nuageux,0mm
Tunis,02/01/2017,14°,11°,9km/h,10km,4%,Ciel dégagé  pleinement ensoleillé,63%
Tunis,03/01/2017,15°,12°,23km/h,54%,10km,Soleil et partiellement nuageux,0mm
Tunis,04/01/2017,15°,14°,31km/h,69%,10km,Soleil et partiellement nuageux,1mm
Tunis,05/01/2017,15°,14°,52km/h,62%,9.875km,Nuageux,3mm
Tunis,06/01/2017,11°,10°,44km/h,55%,9.875km,Soleil et partiellement nuageux,1mm
Tunis,07/01/2017,10°,9°,20km/h,65%,10km,Couvert,1mm
Tunis,08/01/2017,12°,10°,23km/h,79%,10km,Couvert,4mm
Tunis,09/01/2017,11°,10°,25km/h,74%,9.875km,Ciel dégagé  pleinement ensoleillé,3mm
Tunis,10/01/2017,13°,11°,28km/h,76%,9.875km,Couvert,3mm
Tunis,11/01/2017,13°,11°,24km/h,81%,9km,Couvert,5mm
Tunis,12/01/2017,14°,11°,13km/h,70%,10km,Soleil et partiellement nuageux,1mm
Tunis,13/01/2017,15°,11°,22km/h,58%,9.875km,Ciel dégagé  pleinement ensoleillé,1mm
Tunis,14/01/2017,13°,11°,25km/h,63%,9.875km,Ciel dégagé  pleinement ensoleillé,1mm
Tunis,15/01/2017,11°,10°,45km/h,61%,9.625km,Soleil et partiellement nuageux,2mm
Tunis,16/01/2017,11°,10°,33km/h,65%,9.125km,Soleil et partiellement nuageux,3mm
Tunis,17/01/2017,9°,8°,39km/h,69%,9.75km,Soleil et partiellement nuageux,3mm
Tunis,18/01/2017,12°,10°,27km/h,68%,9.75km,Soleil et partiellement nuageux,2mm
Tunis,19/01/2017,12°,10°,10km/h,74%,10km,Soleil et partiellement nuageux,0mm
Tunis,20/01/2017,15°,13°,38km/h,73%,10km,Soleil et partiellement nuageux,2mm
Tunis,21/01/2017,15°,14°,37km/h,57%,10km,Ciel dégagé  pleinement ensoleillé,3mm
Tunis,22/01/2017,14°,11°,24km/h,58%,10km,Ciel dégagé  pleinement ensoleillé,0mm
Tunis,23/01/2017,14°,11°,17km/h,49%,10km,Ciel dégagé  pleinement ensoleillé,0mm
Tunis,24/01/2017,13°,11°,14km/h,66%,9.75km,Soleil et partiellement nuageux,2mm
Tunis,25/01/2017,14°,12°,28km/h,78%,9.875km,Soleil et partiellement nuageux,3mm
Tunis,26/01/2017,15°,11°,12km/h,68%,10km,Ciel dégagé  pleinement ensoleillé,0mm
Tunis,27/01/2017,16°,12°,27km/h,55%,10km,Nuageux,0mm
Tunis,28/01/2017,13°,11°,21km/h,64%,9km,Couvert,1mm
Tunis,29/01/2017,14°,12°,13km/h,71%,9.875km,Soleil et partiellement nuageux,1mm
Tunis,30/01/2017,15°,12°,14km/h,76%,9.875km,Ciel dégagé  pleinement ensoleillé,1mm
Tunis,31/01/2017,17°,13°,17km/h,62%,10km,Ciel dégagé  pleinement ensoleillé,0mm
Tunis,01/02/2017,17°,13°,19km/h,10km,19%,Ciel dégagé  pleinement ensoleillé,57%
Tunis,02/02/2017,18°,14°,15km/h,10km,36%,Nuageux,57%
Tunis,03/02/2017,18°,16°,8km/h,10km,10%,Ciel dégagé  pleinement ensoleillé,55%
Tunis,04/02/2017,19°,15°,15km/h,56%,10km,Soleil et partiellement nuageux,0mm
Tunis,05/02/2017,19°,16°,15km/h,59%,9.75km,Soleil et partiellement nuageux,4mm
Tunis,06/02/2017,13°,12°,62km/h,67%,9.75km,Soleil et partiellement nuageux,8mm
Tunis,07/02/2017,14°,13°,43km/h,73%,9.875km,Nuageux,1mm
Tunis,08/02/2017,18°,14°,14km/h,71%,9.875km,Soleil et partiellement nuageux,5mm
Tunis,09/02/2017,13°,11°,32km/h,82%,8.125km,Soleil et partiellement nuageux,7mm
Tunis,10/02/2017,14°,13°,22km/h,75%,9.875km,Soleil et partiellement nuageux,1mm
Tunis,11/02/2017,16°,13°,22km/h,73%,10km,Ciel dégagé  pleinement ensoleillé,0mm
Tunis,12/02/2017,17°,14°,31km/h,10km,30%,Soleil et partiellement nuageux,73%
Tunis,13/02/2017,18°,15°,30km/h,77%,10km,Ciel dégagé  pleinement ensoleillé,0mm
Tunis,14/02/2017,16°,15°,23km/h,83%,10km,Couvert,1mm
Tunis,15/02/2017,16°,15°,23km/h,73%,10km,Soleil et partiellement nuageux,0mm
Tunis,16/02/2017,16°,13°,15km/h,10km,8%,Ciel dégagé  pleinement ensoleillé,68%
Tunis,17/02/2017,17°,13°,12km/h,10km,29%,Ciel dégagé  pleinement ensoleillé,68%
Tunis,18/02/2017,15°,14°,18km/h,73%,10km,Ciel dégagé  pleinement ensoleillé,0mm
Tunis,19/02/2017,15°,14°,19km/h,73%,10km,Ciel dégagé  pleinement ensoleillé,1mm
Tunis,20/02/2017,16°,13°,12km/h,63%,10km,Ciel dégagé  pleinement ensoleillé,0mm
Tunis,21/02/2017,15°,13°,8km/h,10km,1%,Ciel dégagé  pleinement ensoleillé,61%
Tunis,22/02/2017,17°,14°,9km/h,58%,10km,Ciel dégagé  pleinement ensoleillé,0mm
Tunis,23/02/2017,21°,17°,9km/h,56%,10km,Ciel dégagé  pleinement ensoleillé,1mm
Tunis,24/02/2017,24°,18°,24km/h,57%,9.625km,Soleil et partiellement nuageux,3mm
Tunis,25/02/2017,15°,14°,30km/h,72%,9.375km,Ciel dégagé  pleinement ensoleillé,1mm
Tunis,26/02/2017,15°,13°,26km/h,85%,10km,Soleil et partiellement nuageux,1mm
Tunis,27/02/2017,16°,14°,22km/h,75%,10km,Ciel dégagé  pleinement ensoleillé,1mm
Tunis,28/02/2017,19°,15°,13km/h,66%,10km,Soleil et partiellement nuageux,0mm
Tunis,01/03/2017,17°,15°,26km/h,72%,10km,Ciel dégagé  pleinement ensoleillé,1mm
Tunis,02/03/2017,19°,15°,9km/h,68%,10km,Ciel dégagé  pleinement ensoleillé,0mm
Tunis,03/03/2017,21°,16°,22km/h,69%,10km,Ciel dégagé  pleinement ensoleillé,0mm
Tunis,04/03/2017,18°,17°,17km/h,63%,9.75km,Soleil et partiellement nuageux,1mm
Tunis,05/03/2017,18°,16°,27km/h,64%,10km,Ciel dégagé  pleinement ensoleillé,1mm
Tunis,06/03/2017,18°,15°,25km/h,68%,10km,Ciel dégagé  pleinement ensoleillé,0mm
Tunis,07/03/2017,16°,15°,59km/h,51%,10km,Ciel dégagé  pleinement ensoleillé,0mm
Tunis,08/03/2017,16°,15°,47km/h,49%,10km,Ciel dégagé  pleinement ensoleillé,1mm
Tunis,09/03/2017,17°,15°,41km/h,73%,10km,Ciel dégagé  pleinement ensoleillé,0mm
Tunis,10/03/2017,20°,18°,41km/h,10km,7%,Ciel dégagé  pleinement ensoleillé,63%
Tunis,11/03/2017,17°,16°,30km/h,10km,3%,Ciel dégagé  pleinement ensoleillé,64%
Tunis,12/03/2017,20°,16°,10km/h,43%,10km,Ciel dégagé  pleinement ensoleillé,0mm
Tunis,13/03/2017,20°,18°,15km/h,59%,9.875km,Soleil et partiellement nuageux,1mm
Tunis,14/03/2017,17°,16°,17km/h,73%,10km,Soleil et partiellement nuageux,1mm
Tunis,15/03/2017,16°,15°,20km/h,64%,10km,Ciel dégagé  pleinement ensoleillé,1mm
Tunis,16/03/2017,15°,14°,24km/h,62%,10km,Ciel dégagé  pleinement ensoleillé,0mm
Tunis,17/03/2017,17°,14°,15km/h,10km,2%,Ciel dégagé  pleinement ensoleillé,58%
Tunis,18/03/2017,20°,16°,16km/h,10km,0%,Ciel dégagé  pleinement ensoleillé,46%
Tunis,19/03/2017,20°,18°,14km/h,10km,0%,Ciel dégagé  pleinement ensoleillé,44%
Tunis,20/03/2017,21°,18°,14km/h,10km,16%,Ciel dégagé  pleinement ensoleillé,51%
Tunis,21/03/2017,18°,16°,31km/h,10km,36%,Ciel dégagé  pleinement ensoleillé,76%
Tunis,22/03/2017,19°,16°,18km/h,10km,33%,Ciel dégagé  pleinement ensoleillé,72%
Tunis,23/03/2017,22°,18°,28km/h,10km,25%,Ciel dégagé  pleinement ensoleillé,58%
Tunis,24/03/2017,20°,18°,34km/h,67%,10km,Ciel dégagé  pleinement ensoleillé,0mm
Tunis,25/03/2017,15°,14°,22km/h,83%,9km,Couvert,1mm
Tunis,26/03/2017,18°,16°,15km/h,57%,10km,Ciel dégagé  pleinement ensoleillé,0mm
Tunis,27/03/2017,18°,16°,15km/h,55%,10km,Ciel dégagé  pleinement ensoleillé,0mm
Tunis,28/03/2017,13°,12°,7km/h,83%,9km,Couvert,1mm
Tunis,29/03/2017,17°,15°,20km/h,61%,10km,Ciel dégagé  pleinement ensoleillé,1mm
Tunis,30/03/2017,19°,17°,24km/h,64%,10km,Ciel dégagé  pleinement ensoleillé,0mm
Tunis,31/03/2017,22°,18°,14km/h,52%,10km,Ciel dégagé  pleinement ensoleillé,0mm
Tunis,01/04/2017,24°,21°,24km/h,45%,9.875km,Ciel dégagé  pleinement ensoleillé,3mm
Tunis,02/04/2017,17°,16°,30km/h,61%,9.875km,Soleil et partiellement nuageux,1mm
Tunis,03/04/2017,17°,16°,39km/h,65%,10km,Soleil et partiellement nuageux,2mm
